EMAIL,PASSWORD,FIRST_NAME,LAST_NAME,STATUS,REGISTRATION_DATE,BIRTH_DATE,IS_ACTIVE,JOB_TITLE,PHONE_NUMBER,PERSONAL_ID_CODE
mark.johnson@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Mark,Johnson,active,2023-04-12T08:30:45,1982-01-15T00:00:00,true,Construction Supervisor,+37255523456,48201152222
lisa.williams@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Lisa,Williams,active,2022-08-24T11:15:30,1991-05-22T00:00:00,true,Crane Operator,+37255565432,49105222222
robert.davis@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Robert,Davis,inactive,2021-03-19T14:45:22,1985-09-30T00:00:00,false,Bricklayer,+37255578901,48509302222
susan.miller@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Susan,Miller,active,2020-11-11T09:00:00,1979-06-14T00:00:00,true,Electrician,+37255587654,47906142222
david.wilson@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,David,Wilson,active,2019-06-21T12:00:00,1975-02-08T00:00:00,true,Welder,+37255565498,47502082222
carol.baker@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Carol,Baker,active,2021-09-14T10:25:30,1988-12-05T00:00:00,true,Plumber,+37255532145,48812052222
james.wright@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,James,Wright,inactive,2020-02-22T08:15:00,1983-07-19T00:00:00,false,Carpenter,+37255599876,48307192222
paul.green@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Paul,Green,active,2022-11-05T07:45:22,1995-03-10T00:00:00,true,Heavy Equipment Operator,+37255577654,49503102222
nancy.lee@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Nancy,Lee,active,2023-01-13T13:30:45,1980-04-25T00:00:00,true,Site Manager,+37255587456,48004252222
maria.lopez@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Maria,Lopez,active,2021-07-19T16:20:30,1992-09-15T00:00:00,true,Surveyor,+37255556342,49209152222
richard.white@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Richard,White,inactive,2020-05-21T09:45:12,1978-11-02T00:00:00,false,Painter,+37255567432,47811022222
karen.martin@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Karen,Martin,active,2022-03-30T10:15:00,1989-06-20T00:00:00,true,Architect,+37255599845,48906202222
charles.king@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Charles,King,active,2018-08-11T11:30:22,1976-12-18T00:00:00,true,Roofer,+37255587632,47612182222
patricia.moore@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Patricia,Moore,active,2017-12-05T08:20:45,1983-11-11T00:00:00,true,Civil Engineer,+37255576543,48311112222
george.harris@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,George,Harris,inactive,2019-07-22T07:10:00,1979-05-28T00:00:00,false,Concrete Finisher,+37255565478,47905282222
barbara.jones@example.com,$2a$10$/9JQXWBEbHKU/ZzMFLQTbe6E4A6k6eqkHjNhfSVMSVc4Bp5NykYYS,Barbara,Jones,active,2021-10-25T12:50:30,1993-02-14T00:00:00,true,Safety Officer,+37255587956,49302142222
